a		Nc, Ng, Vit, I, E
A Di Đà Phật		Np
a-dốt		Np
a dua		Vt
a-đrê-na-lin		Np
a giao		Nc, Ng
a ha		E
a hoàn		Nc
a-lô		E
a-lu-min		Np
a-men		Np
a-mi-ăng		Np
a-mi-đan		Np
a-mi-nô a-xít		Np
a-míp		Np
a-mô-ni-ác		Np
a-nô-phen		Np
a-nốt		Np
a pa tít		Nc
a pác thai		Na
a phiến		Nc, Ng
a posteriori		Jr, Aa
a priori		Jr, Aa
a-tlát		Np
a tòng		Vt
a-trô-pin		Np
a-xen		Np
a-xê-ti-len		Np
a-xê-ton		Np
a xít		Np
a-xít a-min		Np
a-xphan		Np
a-xpi-rin		Np
à		Vit, I, E
à ơi		E
à uôm		Vit, Aa
ả		Nc
ả đào		Nc, Ng
ả đầu		Nc, Ng
ả hoàn		Nc, Ng
á		E
á à		E
á hậu		Nc, Ng
á khôi		Nc, Ng
á kim		Nc, Ng
á nguyên		Na
á nhiệt đới		Na
á phiện		Nc, Ng
á quân		Nc, Ng
á sừng		Na
á thánh		Na
ạ		I
ạ ơi		E
ác		Nc, Aa
ác bá		Nc, Ng
ác-bít hối đoái		Na
ác cảm		Na
ác chiến		Vit
ác độc		Aa
ác đức		Aa
ác giả ác báo		Vit
ác hại		Aa
ác hiểm		Aa
ác khẩu		Aa
ác là		Nc, Ng
ác liệt		Aa
ác miệng		Aa
ác mỏ		Nc, Ng
ác mó		Nc, Ng
ác mô ni ca		Nc
ác mộng		Na
ác cái là		X
ác một cái là		X
ác nghiệt		Aa
ác nhân		Nc, Ng
ác ôn		Nc, Ng, Aa
ác quỉ		Nc, Ng
ác-quy		Nc, Ng
ác quỷ		Nc, Ng
ác tăng		Nc, Ng
ác tâm		Na
ác tật		Na
ác-ten nông nghiệp		Na
ác thú		Nc, Ng
ác tính		Aa
ác vàng		Nc, Ng
ác ý		Na
acbit hối đoái		Na
accordeon		Np
aceton		Np
acetylen		Np
ách		Nc, Na, Vt, Aa
ách tắc		Vt
ách vận		Na
acid		Np
acid acetic		Np
acid amin		Np
acid béo		Np
acid carbonic		Np
acid chlorhydric		Np
acid nitric		Np
acid sulfuric		Np
acmonica		Np
acquy		Np
acre		Np
acten nông nghiệp		Np
ad hoc		X
adrenalin		Np
ađrenalin		Np
afghani		Np
Ag		Np
ai		Pp, Pi
ai ai		Pp
ai bảo		X
ai đời		X
ai lại		X
ai mượn		X
ai nấy		Pp
ai ngờ		X
ai oán		Aa
ải		Nc, Na, Vit, Aa
ải quan		Nc, Ng
ải thâm		Aa
ái		E
ái ân		Na, Vit
ái chà		E
ái dà		E
ái hữu		Na
ái khanh		Pp
ái lực		Na
ái mộ		Vt, Vim, Vtim
ái nam ái nữ		Aa
